city,station,lat,long,datasource,obs.period,date,pollutant,concentration,unit
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-20,PM2.5,10.56450867,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-21,PM2.5,14.13861236,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-22,PM2.5,18.95883262,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-23,PM2.5,11.45526874,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-24,PM2.5,12.03456613,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-25,PM2.5,12.07896144,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-26,PM2.5,38.04431558,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-27,PM2.5,34.2082645,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-28,PM2.5,18.35758282,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-29,PM2.5,14.90750174,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-30,PM2.5,9.241544319,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-05-31,PM2.5,9.333452753,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-01,PM2.5,11.93690295,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-02,PM2.5,9.716475045,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-04,PM2.5,4.088108272,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-05,PM2.5,4.673512165,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-06,PM2.5,13.0087918,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-07,PM2.5,10.81080187,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-08,PM2.5,14.45910825,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-09,PM2.5,27.13952433,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-10,PM2.5,45.19940965,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-11,PM2.5,26.65778652,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-12,PM2.5,19.42877225,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-13,PM2.5,25.79915264,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-14,PM2.5,13.35037486,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-15,PM2.5,35.922104589999996,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-16,PM2.5,17.44726386,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-17,PM2.5,27.03880521,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-18,PM2.5,28.9703854,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-19,PM2.5,36.79639152,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-20,PM2.5,15.58561933,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-21,PM2.5,21.24563699,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-22,PM2.5,57.57932953,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-23,PM2.5,51.12722782,ug/m3
