city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-18,PM2.5,6.66426315789474,ug/m3,NA,00:00:00,2017-10-18 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-19,PM2.5,7.32869337979094,ug/m3,NA,00:00:00,2017-10-19 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-19,PM2.5,4.96819130434783,ug/m3,NA,00:00:00,2017-10-19 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-19,PM2.5,5.04024561403509,ug/m3,NA,00:00:00,2017-10-19 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-19,PM2.5,4.56719424460432,ug/m3,NA,00:00:00,2017-10-19 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-20,PM2.5,5.98048695652174,ug/m3,NA,00:00:00,2017-10-20 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-20,PM2.5,4.46052083333333,ug/m3,NA,00:00:00,2017-10-20 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-20,PM2.5,4.73437062937063,ug/m3,NA,00:00:00,2017-10-20 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-20,PM2.5,4.22712280701754,ug/m3,NA,00:00:00,2017-10-20 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-21,PM2.5,7.0970883882149,ug/m3,NA,00:00:00,2017-10-21 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-21,PM2.5,5.96357019064125,ug/m3,NA,00:00:00,2017-10-21 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-21,PM2.5,6.40754749568221,ug/m3,NA,00:00:00,2017-10-21 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-21,PM2.5,5.82159445407279,ug/m3,NA,00:00:00,2017-10-21 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-22,PM2.5,8.90213660245184,ug/m3,NA,00:00:00,2017-10-22 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-22,PM2.5,6.77697022767075,ug/m3,NA,00:00:00,2017-10-22 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-22,PM2.5,7.18360770577933,ug/m3,NA,00:00:00,2017-10-22 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-22,PM2.5,6.66141856392294,ug/m3,NA,00:00:00,2017-10-22 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-23,PM2.5,7.60339113680154,ug/m3,NA,00:00:00,2017-10-23 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-23,PM2.5,6.35610586011342,ug/m3,NA,00:00:00,2017-10-23 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
