"station","city","datasource","pollutant","unit","concentration","date","station_area","lat","long","obs.period"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",35.7557826086957,"2017-02-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",21.1524444444444,"2019-02-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",16.463125,"2020-02-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",42.3882727272727,"2011-03-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",43.2605416666667,"2012-03-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",19.8498571428571,"2019-03-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",37.6465,"2020-03-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",34.408,"2011-04-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",47.4382916666667,"2012-04-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",22.75725,"2015-04-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",50.4665416666667,"2019-04-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",10.1555416666667,"2020-04-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",40.5932083333333,"2011-05-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",59.257875,"2012-05-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",18.00125,"2014-05-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",46.9405416666667,"2019-05-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",25.3340416666667,"2020-05-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",38.8679583333333,"2011-06-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",24.0182916666667,"2012-06-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
