"station","city","datasource","pollutant","unit","date","lat","long","obs.period","concentration","station_area"
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-04,8.9843,38.7364,"2021/02/25 - 2021/03/28",27.4296829971182,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-05,8.9843,38.7364,"2021/02/25 - 2021/03/28",30.2857369255151,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-06,8.9843,38.7364,"2021/02/25 - 2021/03/28",31.762,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-07,8.9843,38.7364,"2021/02/25 - 2021/03/28",29.3862017804154,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-08,8.9843,38.7364,"2021/02/25 - 2021/03/28",41.0713649851632,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-09,8.9843,38.7364,"2021/02/25 - 2021/03/28",38.3323529411765,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-10,8.9843,38.7364,"2021/02/25 - 2021/03/28",26.708717948718,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-11,8.9843,38.7364,"2021/02/25 - 2021/03/28",25.2432080924855,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-12,8.9843,38.7364,"2021/02/25 - 2021/03/28",27.0011111111111,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-13,8.9843,38.7364,"2021/02/25 - 2021/03/28",30.3684466019417,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-14,8.9843,38.7364,"2021/02/25 - 2021/03/28",25.6891242937853,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-15,8.9843,38.7364,"2021/02/25 - 2021/03/28",24.010409556314,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-16,8.9843,38.7364,"2021/02/25 - 2021/03/28",19.7499121265378,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-17,8.9843,38.7364,"2021/02/25 - 2021/03/28",24.4325301204819,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-18,8.9843,38.7364,"2021/02/25 - 2021/03/28",23.9099173553719,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-19,8.9843,38.7364,"2021/02/25 - 2021/03/28",19.3834951456311,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-20,8.9843,38.7364,"2021/02/25 - 2021/03/28",25.2928115015974,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-21,8.9843,38.7364,"2021/02/25 - 2021/03/28",23.8635371179039,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-22,8.9843,38.7364,"2021/02/25 - 2021/03/28",22.9171846435101,NA
