city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-22,PM2.5,12.8568253968254,ug/m3,NA,00:00:00,2017-09-22 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-23,PM2.5,15.5479895104895,ug/m3,NA,00:00:00,2017-09-23 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-23,PM2.5,12.2981370826011,ug/m3,NA,00:00:00,2017-09-23 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-24,PM2.5,12.2298734177215,ug/m3,NA,00:00:00,2017-09-24 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-24,PM2.5,10.517223198594,ug/m3,NA,00:00:00,2017-09-24 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-25,PM2.5,15.28515625,ug/m3,NA,00:00:00,2017-09-25 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-25,PM2.5,11.6754804270463,ug/m3,NA,00:00:00,2017-09-25 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-09-25,PM2.5,21.9517647058824,ug/m3,NA,00:00:00,2017-09-25 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-26,PM2.5,14.993024691358,ug/m3,NA,00:00:00,2017-09-26 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-26,PM2.5,16.3352380952381,ug/m3,NA,00:00:00,2017-09-26 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-09-26,PM2.5,27.2424307692308,ug/m3,NA,00:00:00,2017-09-26 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-27,PM2.5,10.3214548802947,ug/m3,NA,00:00:00,2017-09-27 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-27,PM2.5,10.6982913669065,ug/m3,NA,00:00:00,2017-09-27 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-09-27,PM2.5,18.2071717171717,ug/m3,NA,00:00:00,2017-09-27 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-28,PM2.5,10.6519077568134,ug/m3,NA,00:00:00,2017-09-28 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-28,PM2.5,11.197615658363,ug/m3,NA,00:00:00,2017-09-28 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-09-28,PM2.5,17.9055875831486,ug/m3,NA,00:00:00,2017-09-28 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-29,PM2.5,10.0020512820513,ug/m3,NA,00:00:00,2017-09-29 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-29,PM2.5,8.27388888888889,ug/m3,NA,00:00:00,2017-09-29 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-09-29,PM2.5,13.844496124031,ug/m3,NA,00:00:00,2017-09-29 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-30,PM2.5,7.93566929133858,ug/m3,NA,00:00:00,2017-09-30 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-30,PM2.5,6.74332142857143,ug/m3,NA,00:00:00,2017-09-30 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-09-30,PM2.5,9.01737226277372,ug/m3,NA,00:00:00,2017-09-30 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-10-01,PM2.5,6.31182410423453,ug/m3,NA,00:00:00,2017-10-01 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-01,PM2.5,6.39242424242424,ug/m3,NA,00:00:00,2017-10-01 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-10-02,PM2.5,5.95689655172414,ug/m3,NA,00:00:00,2017-10-02 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-02,PM2.5,8.70079207920792,ug/m3,NA,00:00:00,2017-10-02 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-02,PM2.5,17.6768367346939,ug/m3,NA,00:00:00,2017-10-02 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-03,PM2.5,6.91230215827338,ug/m3,NA,00:00:00,2017-10-03 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-03,PM2.5,12.3752666666667,ug/m3,NA,00:00:00,2017-10-03 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-04,PM2.5,7.5032667876588,ug/m3,NA,00:00:00,2017-10-04 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-04,PM2.5,29.9800666666667,ug/m3,NA,00:00:00,2017-10-04 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-05,PM2.5,7.26854166666667,ug/m3,NA,00:00:00,2017-10-05 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-05,PM2.5,12.994347826087,ug/m3,NA,00:00:00,2017-10-05 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-06,PM2.5,8.17732673267327,ug/m3,NA,00:00:00,2017-10-06 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-07,PM2.5,14.4831343283582,ug/m3,NA,00:00:00,2017-10-07 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_23,-1.298,36.791,sensor.Africa,2017-10-08,PM2.5,7.235,ug/m3,NA,00:00:00,2017-10-08 00:00:00,NA,2017-09-06,2017-10-08,2017-09-06 ~ 2017-10-08
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-08,PM2.5,4.91482666666667,ug/m3,NA,00:00:00,2017-10-08 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-08,PM2.5,11.4272677595628,ug/m3,NA,00:00:00,2017-10-08 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-09,PM2.5,5.94439421338156,ug/m3,NA,00:00:00,2017-10-09 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-09,PM2.5,16.9220261437908,ug/m3,NA,00:00:00,2017-10-09 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-10,PM2.5,6.59884341637011,ug/m3,NA,00:00:00,2017-10-10 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-10,PM2.5,14.8528187919463,ug/m3,NA,00:00:00,2017-10-10 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-11,PM2.5,7.0289512195122,ug/m3,NA,00:00:00,2017-10-11 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-11,PM2.5,7.48484848484849,ug/m3,NA,00:00:00,2017-10-11 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-12,PM2.5,6.8201978021978,ug/m3,NA,00:00:00,2017-10-12 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_27,-1.306,36.733,sensor.Africa,2017-10-12,PM2.5,13.2798529411765,ug/m3,NA,00:00:00,2017-10-12 00:00:00,NA,2017-09-25,2018-12-16,2017-09-25 ~ 2018-12-16
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-10-13,PM2.5,13.6833081285444,ug/m3,NA,00:00:00,2017-10-13 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
